date,day,waitTime
6/1/2017,Thursday,60
6/1/2017,Thursday,60
6/1/2017,Thursday,60
6/1/2017,Thursday,50
6/1/2017,Thursday,60
6/1/2017,Thursday,110
6/1/2017,Thursday,110
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,135
6/1/2017,Thursday,135
6/1/2017,Thursday,95
6/1/2017,Thursday,95
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,120
6/1/2017,Thursday,90
6/1/2017,Thursday,90
6/1/2017,Thursday,90
6/1/2017,Thursday,90
6/1/2017,Thursday,120
6/1/2017,Thursday,75
6/1/2017,Thursday,75
6/1/2017,Thursday,75
6/1/2017,Thursday,60
6/2/2017,Friday,5
6/2/2017,Friday,30
6/2/2017,Friday,30
6/2/2017,Friday,30
6/2/2017,Friday,50
6/2/2017,Friday,75
6/2/2017,Friday,75
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,120
6/2/2017,Friday,180
6/2/2017,Friday,240
6/2/2017,Friday,300
6/2/2017,Friday,300
6/2/2017,Friday,300
6/2/2017,Friday,300
6/2/2017,Friday,240
6/2/2017,Friday,210
6/2/2017,Friday,210
6/2/2017,Friday,210
6/2/2017,Friday,210
6/2/2017,Friday,210
6/2/2017,Friday,210
6/2/2017,Friday,210
6/2/2017,Friday,210
6/2/2017,Friday,210
6/2/2017,Friday,180
6/2/2017,Friday,195
6/2/2017,Friday,195
6/2/2017,Friday,195
6/2/2017,Friday,180
6/2/2017,Friday,165
6/2/2017,Friday,165
6/2/2017,Friday,165
6/2/2017,Friday,165
6/2/2017,Friday,165
6/2/2017,Friday,165
6/2/2017,Friday,165
6/2/2017,Friday,165
6/2/2017,Friday,165
6/2/2017,Friday,165
6/2/2017,Friday,165
6/2/2017,Friday,165
6/2/2017,Friday,165
6/2/2017,Friday,165
6/2/2017,Friday,165
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
6/2/2017,Friday,110
